method,domain,P@10_mean,P@10_std,R@10_mean,R@10_std,n_jobs
frevia-min,Data Science,0.9246666666666666,0.1702491922801274,0.23116666666666666,0.04256229807003185,150
frevia-min,Hadoop,0.07533333333333334,0.1702491922801274,0.017936507936507935,0.040535521971458904,150
frevia-cross,Data Science,0.9166666666666666,0.17239593365806063,0.22916666666666666,0.04309898341451516,150
frevia-cross,Hadoop,0.08333333333333333,0.17239593365806063,0.01984126984126984,0.04104665087096682,150
frevia-full,Data Science,0.9626666666666667,0.14072996020827871,0.24066666666666667,0.03518249005206968,150
frevia-full,Hadoop,0.03733333333333333,0.14072996020827871,0.008888888888888889,0.0335071333829235,150
keyword,Data Science,0.78,0.26189807946383575,0.195,0.06547451986595894,150
keyword,Hadoop,0.22,0.26189807946383575,0.05238095238095238,0.06235668558662756,150
tfidf,Data Science,0.8039999999999999,0.26365525589248456,0.20099999999999998,0.06591381397312114,150
tfidf,Hadoop,0.19599999999999998,0.2636552558924846,0.046666666666666655,0.06277506092678205,150
sbert,Data Science,0.696,0.3266424681718879,0.174,0.08166061704297198,150
sbert,Hadoop,0.304,0.3266424681718879,0.07238095238095238,0.07777201623140188,150
